Date,Open,High,Low,Close,Adj Close,Volume
2021-10-21,4525.0,4543.25,4510.25,4541.75,4541.75,938565
2021-10-22,4530.0,4551.5,4515.25,4536.5,4536.5,1315668
2021-10-25,4528.75,4566.25,4522.5,4558.0,4558.0,1031431
2021-10-26,4564.75,4590.0,4560.75,4565.25,4565.25,1257346
2021-10-27,4563.75,4576.75,4543.75,4544.5,4544.5,1263181
2021-10-28,4548.75,4589.75,4545.25,4587.5,4587.5,1195785
2021-10-29,4577.0,4603.5,4559.25,4597.0,4597.0,1418280
2021-11-01,4608.0,4619.5,4586.5,4605.75,4605.75,1071118
2021-11-02,4605.75,4627.0,4593.25,4623.5,4623.5,980833
2021-11-03,4621.25,4657.0,4613.0,4652.25,4652.25,1074650
2021-11-04,4651.5,4676.25,4650.75,4673.25,4673.25,1169886
2021-11-05,4671.75,4711.75,4667.5,4690.25,4690.25,1459142
2021-11-08,4678.5,4707.0,4676.25,4694.0,4694.0,1000404
2021-11-09,4690.75,4700.5,4663.25,4678.25,4678.25,1289857
2021-11-10,4674.75,4680.25,4625.25,4642.0,4642.0,1639098
2021-11-11,4645.0,4661.5,4638.0,4643.0,4643.0,936857
2021-11-12,4647.0,4685.5,4643.75,4678.25,4678.25,1155591
2021-11-15,4684.75,4697.5,4667.0,4679.0,4679.0,1047123
2021-11-16,4680.75,4709.75,4670.75,4696.0,4696.0,1043587
2021-11-17,4696.5,4701.0,4679.25,4686.25,4686.25,1056696
2021-11-18,4685.25,4706.5,4668.0,4701.5,4701.5,1168195
2021-11-19,4705.25,4723.5,4684.25,4694.5,4694.5,1344893
2021-11-22,4701.0,4740.5,4674.25,4679.75,4679.75,1685386
2021-11-23,4686.0,4695.5,4649.0,4688.5,4688.5,1872492
2021-11-24,4686.25,4702.25,4656.25,4699.0,4699.0,1408571
2021-11-25,4700.5,4717.0,4700.25,4705.5,4705.5,1408571
2021-11-26,4700.5,4717.0,4577.25,4595.75,4595.75,2068167
2021-11-29,4589.0,4669.75,4588.75,4651.0,4651.0,2014967
2021-11-30,4657.25,4667.5,4557.0,4566.25,4566.25,2845560
2021-12-01,4587.5,4650.75,4497.75,4508.5,4508.5,2670344
2021-12-02,4514.75,4593.75,4505.5,4575.75,4575.75,2587324
2021-12-03,4587.25,4606.5,4492.0,4537.5,4537.5,2747667
2021-12-06,4542.25,4611.75,4531.5,4590.0,4590.0,2031995
2021-12-07,4594.25,4697.25,4587.25,4685.0,4685.0,1771947
2021-12-08,4695.25,4712.0,4671.75,4699.0,4699.0,1418355
2021-12-09,4697.25,4706.0,4662.25,4667.0,4667.0,1593325
2021-12-10,4669.25,4712.75,4664.25,4711.0,4711.0,1585049
2021-12-13,4711.25,4731.0,4664.75,4668.75,4668.75,1605196
2021-12-14,4672.0,4686.0,4606.0,4637.0,4637.0,1211592
2021-12-15,4637.75,4715.0,4611.25,4709.5,4709.5,673190
2021-12-16,4711.5,4752.5,4651.25,4668.75,4668.75,435986
2021-12-17,4674.25,4677.75,4629.5,4636.4599609375,4636.4599609375,2472118
2021-12-20,4612.0,4621.5,4520.25,4558.5,4558.5,2097624
2021-12-21,4567.75,4643.0,4565.75,4640.75,4640.75,1493880
2021-12-22,4641.75,4690.5,4622.25,4686.0,4686.0,1104688
2021-12-23,4689.0,4731.25,4684.25,4715.75,4715.75,978022
2021-12-27,4717.0,4784.25,4713.25,4782.25,4782.25,898698
2021-12-28,4780.5,4798.0,4770.5,4778.5,4778.5,954520
2021-12-29,4781.0,4796.0,4770.0,4784.5,4784.5,876030
2021-12-30,4784.75,4799.75,4767.25,4772.25,4772.25,753935
2021-12-31,4773.75,4778.5,4750.5,4758.5,4758.5,954083
2022-01-03,4771.0,4791.25,4747.5,4786.0,4786.0,1322362
2022-01-04,4785.25,4808.25,4764.5,4784.25,4784.25,1392809
2022-01-05,4783.5,4788.25,4689.5,4692.5,4692.5,1856376
2022-01-06,4692.0,4715.75,4662.0,4687.5,4687.5,1862918
2022-01-07,4695.0,4705.75,4653.75,4667.75,4667.75,1618440
2022-01-10,4671.25,4681.75,4572.75,4662.25,4662.25,2231980
2022-01-11,4663.5,4707.5,4627.25,4705.0,4705.0,1729004
2022-01-12,4704.0,4739.5,4695.0,4716.25,4716.25,1583216
2022-01-13,4719.25,4736.25,4642.5,4652.0,4652.0,1824612
2022-01-14,4655.0,4667.0,4606.0,4654.75,4654.75,2010610
2022-01-18,4666.0,4671.75,4560.0,4571.25,4571.25,2268240
